onset	duration	nwb_table	label
0.0	17079.2	epochs	PREEpoch
5.0	968.0	states	Awake
974.0	19.0	states	Non-REM
994.0	17.0	states	Awake
1012.0	85.0	states	Non-REM
1098.0	182.0	states	Awake
1281.0	222.0	states	Non-REM
1504.0	35.0	states	Awake
1540.0	46.0	states	Non-REM
1587.0	95.0	states	Awake
1683.0	16.0	states	Non-REM
1700.0	560.0	states	Awake
2261.0	62.0	states	Non-REM
2324.0	79.0	states	Awake
2404.0	323.0	states	Non-REM
2728.0	148.0	states	Awake
2877.0	9.0	states	Non-REM
2887.0	43.0	states	Awake
2931.0	30.0	states	Non-REM
2962.0	64.0	states	Awake
3027.0	24.0	states	Non-REM
3052.0	63.0	states	Awake
3116.0	68.0	states	Non-REM
3185.0	962.0	states	Awake
4148.0	16.0	states	Non-REM
4165.0	46.0	states	Awake
4212.0	23.0	states	Non-REM
4236.0	7.0	states	Awake
4244.0	31.0	states	Non-REM
4276.0	30.0	states	Awake
4307.0	13.0	states	Non-REM
4321.0	30.0	states	Awake
4352.0	89.0	states	Non-REM
4442.0	43.0	states	Awake
4486.0	157.0	states	Non-REM
4644.0	1078.0	states	Awake
5723.0	16.0	states	Non-REM
5740.0	77.0	states	Awake
5818.0	11.0	states	Non-REM
5830.0	155.0	states	Awake
5986.0	13.0	states	Non-REM
6000.0	147.0	states	Awake
6148.0	39.0	states	Non-REM
6188.0	19.0	states	Awake
6208.0	354.0	states	Non-REM
6563.0	68.0	states	REM
6632.0	83.0	states	Awake
6716.0	437.0	states	Non-REM
7154.0	22.0	states	Awake
7177.0	321.0	states	Non-REM
7499.0	159.0	states	REM
7659.0	9.0	states	Non-REM
7669.0	13.0	states	Awake
7683.0	143.0	states	Non-REM
7827.0	344.0	states	Awake
8172.0	103.0	states	Non-REM
8276.0	14.0	states	Awake
8291.0	145.0	states	Non-REM
8437.0	14.0	states	Awake
8452.0	191.0	states	Non-REM
8644.0	103.0	states	REM
8748.0	488.0	states	Awake
9237.0	7.0	states	Non-REM
9245.0	12.0	states	Awake
9258.0	62.0	states	Non-REM
9321.0	8.0	states	Awake
9330.0	150.0	states	Non-REM
9481.0	14.0	states	Awake
9496.0	17.0	states	Non-REM
9514.0	13.0	states	Awake
9528.0	49.0	states	Non-REM
9578.0	83.0	states	Awake
9662.0	30.0	states	Non-REM
9693.0	70.0	states	Awake
9764.0	11.0	states	Non-REM
9776.0	258.0	states	Awake
10035.0	143.0	states	Non-REM
10179.0	8.0	states	Awake
10188.0	242.0	states	Non-REM
10431.0	22.0	states	Awake
10454.0	73.0	states	Non-REM
10528.0	160.0	states	Awake
10689.0	15.0	states	Non-REM
10705.0	965.0	states	Awake
11671.0	33.0	states	Non-REM
11705.0	454.0	states	Awake
12160.0	399.0	states	Non-REM
12560.0	134.0	states	REM
12695.0	17.0	states	Awake
12713.0	359.0	states	Non-REM
13073.0	19.0	states	Awake
13093.0	202.0	states	Non-REM
13296.0	11.0	states	REM
13308.0	62.0	states	Non-REM
13371.0	143.0	states	REM
13515.0	17.0	states	Awake
13533.0	52.0	states	Non-REM
13586.0	13.0	states	Awake
13600.0	13.0	states	Non-REM
13614.0	56.0	states	Awake
13671.0	207.0	states	Non-REM
13879.0	8.0	states	Awake
13888.0	336.0	states	Non-REM
14225.0	10.0	states	Awake
14236.0	173.0	states	Non-REM
14410.0	91.0	states	REM
14502.0	7.0	states	Awake
14510.0	69.0	states	REM
14580.0	71.0	states	Non-REM
14652.0	24.0	states	REM
14677.0	7.0	states	Non-REM
14685.0	345.0	states	Awake
15031.0	78.0	states	Non-REM
15110.0	23.0	states	Awake
15134.0	128.0	states	Non-REM
15263.0	129.0	states	Awake
15393.0	504.0	states	Non-REM
15898.0	18.0	states	REM
15917.0	30.0	states	Awake
15948.0	77.0	states	Non-REM
16026.0	56.0	states	REM
16083.0	15.0	states	Non-REM
16099.0	25.0	states	Awake
16125.0	583.0	states	Non-REM
16709.0	3854.0	states	Awake
17079.2	2335.0999999999985	epochs	MazeEpoch
19414.3	10999.328000000001	epochs	POSTEpoch
20564.0	17.0	states	Non-REM
20582.0	85.0	states	Awake
20668.0	19.0	states	Non-REM
20688.0	346.0	states	Awake
21035.0	985.0	states	Non-REM
22021.0	10.0	states	Awake
22032.0	302.0	states	Non-REM
22335.0	39.0	states	REM
22375.0	15.0	states	Awake
22391.0	83.0	states	Non-REM
22475.0	95.0	states	Awake
22571.0	27.0	states	Non-REM
22599.0	1165.0	states	Awake
23765.0	629.0	states	Non-REM
24395.0	88.0	states	REM
24484.0	12.0	states	Awake
24497.0	308.0	states	Non-REM
24806.0	72.0	states	Awake
24879.0	215.0	states	Non-REM
25095.0	20.0	states	Awake
25116.0	319.0	states	Non-REM
25436.0	125.0	states	REM
25562.0	9.0	states	Awake
25572.0	70.0	states	Non-REM
25643.0	7.0	states	Awake
25651.0	439.0	states	Non-REM
26091.0	152.0	states	REM
26244.0	10.0	states	Non-REM
26255.0	1679.0	states	Awake
27935.0	443.0	states	Non-REM
28379.0	11.0	states	Awake
28391.0	184.0	states	Non-REM
28576.0	37.0	states	REM
28614.0	18.0	states	Awake
28633.0	509.0	states	Non-REM
29143.0	88.0	states	REM
29232.0	19.0	states	Awake
29252.0	8.0	states	Non-REM
29261.0	54.0	states	Awake
29316.0	10.0	states	Non-REM
29327.0	1381.0	states	Awake
30709.0	802.0	states	Non-REM
31512.0	113.0	states	REM
31626.0	56.0	states	Awake
31683.0	14.0	states	Non-REM
31698.0	299.0	states	Awake
